name,interface,ip_address,roles
pc1,eth1,10.100.10.10/24,host
coreA,eth2,10.100.10.1/24,router
coreA,eth3,10.100.1.9/30,router
coreA,eth1,10.100.1.2/30,router
coreA,lo,10.100.255.2/32,router
access,eth2,10.100.1.1/30,router
pc2,eth1,10.100.20.10/24,host
coreB,eth2,10.100.20.1/24,router
coreB,eth3,10.100.1.10/30,router
coreB,eth1,10.100.1.6/30,router
coreB,lo,10.100.255.3/32,router
access,lo,10.100.255.1/32,router
access,eth3,10.100.1.5/30,router
pe1,eth1,10.100.0.1/30,router
access,eth1,10.100.0.2/30,router
pe2,eth1,10.100.0.5/30,router
access,eth4,10.100.0.6/30,router
pe1,eth2,10.100.0.9/30,router
pe2,eth2,10.100.0.10/30,router
pe1,eth3,10.100.0.13/30,router
services,eth1,10.100.0.14/30,router
pe2,eth3,10.100.0.17/30,router
services,eth2,10.100.0.18/30,router
pe1,lo,10.100.255.4/32,router
pe2,lo,10.100.255.5/32,router
services,lo,10.100.255.6/32,router
services,eth3,10.100.2.1/24,router
services,eth4,10.100.3.1/24,router
server1,eth1,10.100.2.100/24,host
server2,eth1,10.100.2.101/24,host
db,eth1,10.100.3.254/24,host
