device_a,interface_a,device_b,interface_b
pc1,eth1,swA,eth2
pc2,eth1,swB,eth2
swA,eth1,coreA,eth2
swB,eth1,coreB,eth2
coreA,eth3,coreB,eth3
access,eth2,coreA,eth1
access,eth3,coreB,eth1
pe1,eth1,access,eth1
pe2,eth1,access,eth4
pe1,eth2,pe2,eth2
pe1,eth3,services,eth1
pe2,eth3,services,eth2
services,eth3,swS1,eth1
services,eth4,swS2,eth1
swS1,eth2,swS2,eth2
swS1,eth3,swS2,eth3
swS1,eth4,swL1,eth1
swS1,eth5,swL2,eth1
swS2,eth4,swL1,eth2
swS2,eth5,swL2,eth2
swL1,eth3,server1,eth1
swL1,eth4,server2,eth1
swL2,eth3,db,eth1
