name,interface,ip_address,roles,ospf_area,default_gateway
r1,eth1,10.0.1.1/24,router,0,
r1,eth2,10.0.0.1/30,router,0,
r1,eth3,10.0.0.5/30,router,0,
r1,lo,1.1.1.1/32,router,0,
r2,eth1,10.0.0.2/30,router,0,
r2,eth2,10.0.2.1/30,router,2,
r2,eth3,10.0.2.5/30,router,2,
r2,lo,2.2.2.2/32,router,0,
r3,eth1,10.0.0.6/30,router,0,
r3,eth2,10.0.2.2/30,router,2,
r3,eth3,10.0.2.9/30,router,2,
r3,lo,3.3.3.3/32,router,0,
r4,eth1,10.0.2.6/30,router,2,
r4,eth2,10.0.2.10/30,router,2,
r4,eth3,10.0.3.1/24,router,2,
r4,lo,4.4.4.4/32,router,2,
pc1,eth1,10.0.1.2/24,host,,10.0.1.1
pc2,eth1,10.0.3.2/24,host,,10.0.3.1
